ip,domain,spider_type
13.66.144.141,msnbot-13-66-144-141.search.msn.com,Bing
13.66.144.142,msnbot-13-66-144-142.search.msn.com,Bing
13.66.144.143,msnbot-13-66-144-143.search.msn.com,Bing
13.66.144.144,msnbot-13-66-144-144.search.msn.com,Bing
13.66.144.145,msnbot-13-66-144-145.search.msn.com,Bing
13.66.144.146,msnbot-13-66-144-146.search.msn.com,Bing
13.66.144.147,msnbot-13-66-144-147.search.msn.com,Bing
13.66.144.148,msnbot-13-66-144-148.search.msn.com,Bing
13.66.144.149,msnbot-13-66-144-149.search.msn.com,Bing
13.66.144.150,msnbot-13-66-144-150.search.msn.com,Bing
13.66.144.151,msnbot-13-66-144-151.search.msn.com,Bing
13.66.144.152,msnbot-13-66-144-152.search.msn.com,Bing
13.66.144.153,msnbot-13-66-144-153.search.msn.com,Bing
13.66.144.154,msnbot-13-66-144-154.search.msn.com,Bing
13.66.144.155,msnbot-13-66-144-155.search.msn.com,Bing
13.66.144.156,msnbot-13-66-144-156.search.msn.com,Bing
13.66.144.157,msnbot-13-66-144-157.search.msn.com,Bing
13.66.144.158,msnbot-13-66-144-158.search.msn.com,Bing
13.66.144.159,msnbot-13-66-144-159.search.msn.com,Bing
13.66.144.160,msnbot-13-66-144-160.search.msn.com,Bing
13.66.144.161,msnbot-13-66-144-161.search.msn.com,Bing
13.66.144.162,msnbot-13-66-144-162.search.msn.com,Bing
13.66.144.163,msnbot-13-66-144-163.search.msn.com,Bing
13.66.144.164,msnbot-13-66-144-164.search.msn.com,Bing
13.66.144.165,msnbot-13-66-144-165.search.msn.com,Bing
13.66.144.166,msnbot-13-66-144-166.search.msn.com,Bing
